workload,workload_kind,mode,do_sort,use_morton,block_size,metrics_block_size,run,cycles,parse_ms,exec_ms,ms_per_cycle,total_ms,parse_allocs,exec_allocs,final_count,pre_hot,pre_warm,pre_cold,pre_free,pre_mean_edge_dist,pre_p95_edge_dist,pre_block_local_pct,post_hot,post_warm,post_cold,post_free,post_mean_edge_dist,post_p95_edge_dist,post_block_local_pct
expr_small,expr,baseline,,,,256,0,1,9.271045000787126,1.0337449984945124,1.0337449984945124,10.304789999281638,2,1,5,,,,,,,,,,,,,,
expr_small,expr,baseline,,,,256,1,1,8.453087999441777,1.5258540006470867,1.5258540006470867,9.978942000088864,2,1,5,,,,,,,,,,,,,,
expr_small,expr,baseline,,,,256,2,1,8.433721999608679,1.2366190003376687,1.2366190003376687,9.670340999946347,2,1,5,,,,,,,,,,,,,,
expr_small,expr,bsp-rank,True,False,0,256,0,3,17.51134099868068,6.070379000448156,2.023459666816052,23.581719999128836,5,0,7,1,0,5,65530,1.5,2.6999999999999993,1.0,0,0,7,65529,2.3333333333333335,4.6,1.0
expr_small,expr,bsp-rank,True,False,0,256,1,3,16.00380200034124,5.267035001452314,1.755678333817438,21.270837001793552,5,0,7,1,0,5,65530,1.5,2.6999999999999993,1.0,0,0,7,65529,2.3333333333333335,4.6,1.0
expr_small,expr,bsp-rank,True,False,0,256,2,3,17.619918000491452,5.759199000749504,1.9197330002498347,23.379117001240957,5,0,7,1,0,5,65530,1.5,2.6999999999999993,1.0,0,0,7,65529,2.3333333333333335,4.6,1.0
expr_small,expr,bsp-nosort,False,False,0,256,0,3,16.22695200057933,0.7192430002760375,0.23974766675867917,16.94619500085537,5,1,8,1,0,5,65530,1.5,2.6999999999999993,1.0,0,0,7,65529,1.5,2.6999999999999993,1.0
expr_small,expr,bsp-nosort,False,False,0,256,1,3,17.275494999921648,0.7942730007926002,0.2647576669308667,18.069768000714248,5,1,8,1,0,5,65530,1.5,2.6999999999999993,1.0,0,0,7,65529,1.5,2.6999999999999993,1.0
expr_small,expr,bsp-nosort,False,False,0,256,2,3,16.466962999402313,0.7979080000950489,0.2659693333650163,17.26487099949736,5,1,8,1,0,5,65530,1.5,2.6999999999999993,1.0,0,0,7,65529,1.5,2.6999999999999993,1.0
expr_small,expr,bsp-morton,True,True,0,256,0,3,17.196108999996795,6.641104999289382,2.213701666429794,23.837213999286178,5,0,7,1,0,5,65530,1.5,2.6999999999999993,1.0,0,0,7,65529,2.3333333333333335,4.6,1.0
expr_small,expr,bsp-morton,True,True,0,256,1,3,17.492201999630197,6.036483000571025,2.0121610001903414,23.52868500020122,5,0,7,1,0,5,65530,1.5,2.6999999999999993,1.0,0,0,7,65529,2.3333333333333335,4.6,1.0
